steamid,player_name,team_clan_name,map_count,tapd_ct,tapd_t,tapd_overall,oap_ct,oap_t,oap_overall,podt_ct,podt_t,podt_overall,pokt_ct,pokt_t,pokt_overall,adnt_rank_ct,adnt_rank_t,adnt_rank_overall,adat_rank_ct,adat_rank_t,adat_rank_overall,role_overall,role_t,role_ct
76561198144926364,kyuubii,Fnatic,7,60.507121930803564,68.39464854589853,64.1564874345263,22.499999999999996,12.222222222222221,17.058823529411764,24.375,24.2021682021682,24.082988974743664,11.407828282828282,32.24747474747475,19.815596168537343,0.6575,0.7466666666666667,0.7305882352941176,0.735,0.8600000000000001,0.8352941176470589,Flex,Lurker,Anchor
76561198028656944,asap,Rooster,7,63.067711333525345,49.72154399901796,56.226232709662646,17.741935483870968,28.395061728395063,23.776223776223777,14.804147465437786,23.412832023943132,21.149523553369708,11.378943637008152,17.20797720797721,14.345376845376844,0.8032258064516129,0.6444444444444445,0.6923076923076923,0.7645161290322582,0.5703703703703704,0.7510489510489511,,,
76561198267298363,dangeR,Rooster,7,62.4411804173649,60.951700474486934,60.57254716050078,16.129032258064516,14.814814814814815,15.384615384615385,25.720569752827817,18.384907273796163,22.25837099962974,21.236559139784944,36.07182940516274,27.925335534031184,0.4967741935483871,0.8296296296296297,0.7748251748251749,0.5709677419354839,0.8666666666666667,0.7020979020979021,,,
76561198016194159,STYKO,Apeks,7,62.98620358122673,68.71165449134199,65.49876871774268,23.45679012345679,23.376623376623378,23.417721518987342,22.489711934156375,18.511272277506045,20.13273558368495,2.469135802469136,16.479076479076475,8.762306610407876,0.8641975308641975,0.6415584415584417,0.740506329113924,0.891358024691358,0.6493506493506493,0.7898734177215191,,,
76561199009468655,ztr,GamerLegion,7,53.4585038919414,55.76583403418871,53.92421370433295,15.384615384615385,21.686746987951807,18.91891891891892,26.483516483516482,27.28733114275283,26.70289097146682,20.63919413919414,27.309236947791163,24.095016282516283,0.7784615384615385,0.6024096385542169,0.7635135135135135,0.6215384615384615,0.4843373493975904,0.6527027027027027,IGL,Spacetaker,Mixed
76561198136488014,cptkurtka023,B8,7,47.837435013562384,39.07922535211268,43.534680272259386,29.11392405063291,29.577464788732396,29.333333333333332,17.173543755822237,30.05999868675925,24.86348484377829,16.817359855334537,8.450704225352112,13.251851851851852,0.6810126582278481,0.5521126760563381,0.5746666666666667,0.8303797468354431,0.6873239436619719,0.812,,,
76561198135998371,yami,ATOX,7,55.2991387085137,58.59894582933206,59.02724867724868,19.047619047619044,21.12676056338028,20.149253731343283,32.76094276094276,31.710413999146393,31.82213930348259,12.218733647305076,25.533199195171026,18.94194357978379,0.526984126984127,0.5380281690140846,0.4388059701492537,0.6095238095238096,0.3211267605633803,0.44328358208955226,,,
76561198402229798,Flying,Lynn Vision Gaming,7,53.72747741901994,57.19741753472223,56.027139474645566,10.81081081081081,20.0,15.107913669064748,14.908637873754152,16.188271604938272,15.94392359935919,27.154434712574247,33.30928330928331,31.71485687308472,0.5511627906976744,0.7222222222222222,0.6531645569620254,0.7790697674418605,0.6694444444444445,0.7898734177215191,,,
76561198158971650,chelleos,Rooster,7,59.68166762672811,56.46288000194251,58.53269554706047,32.25806451612903,17.28395061728395,23.776223776223777,21.121351766513055,11.104636104636105,14.436286324398212,12.794302471721826,24.553224553224556,19.668051246998612,0.6709677419354839,0.5703703703703703,0.6181818181818183,0.4838709677419355,0.4444444444444444,0.41818181818181815,,,
76561198874507220,MiQ,ATOX,7,53.76568700396825,52.08951631188647,53.96132004569505,23.80952380952381,25.35211267605634,24.62686567164179,16.53439153439153,29.64148527528809,22.611999809564615,23.167044595616023,31.56586578293289,26.728004909466023,0.6349206349206349,0.6281690140845071,0.6507462686567165,0.7206349206349207,0.7183098591549296,0.7208955223880597,,Half-Lurker,Anchor
